Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 107.500000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.000000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.500000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 157.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 108.000000, Center Y: 121.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 141.500000, Center Y: 121.500000
Center X: 108.000000, Center Y: 122.000000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.000000, Center Y: 156.500000
Center X: 108.000000, Center Y: 122.500000
Center X: 141.500000, Center Y: 121.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.500000, Center Y: 156.500000
Center X: 108.000000, Center Y: 122.500000
Center X: 141.500000, Center Y: 121.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.500000, Center Y: 156.500000
Center X: 108.000000, Center Y: 122.500000
Center X: 141.500000, Center Y: 121.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.500000, Center Y: 157.000000
Center X: 141.500000, Center Y: 122.000000
Center X: 108.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.500000, Center Y: 157.000000
Center X: 141.500000, Center Y: 122.000000
Center X: 108.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.000000
Center X: 141.500000, Center Y: 122.000000
Center X: 108.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 141.500000, Center Y: 122.000000
Center X: 109.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 141.500000, Center Y: 122.000000
Center X: 109.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 141.500000, Center Y: 122.000000
Center X: 109.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 141.500000, Center Y: 122.000000
Center X: 109.000000, Center Y: 123.000000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 141.500000, Center Y: 122.500000
Center X: 109.000000, Center Y: 123.000000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 109.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 109.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 109.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 157.500000
Center X: 109.000000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 141.500000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 158.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 122.500000
Center X: 141.500000, Center Y: 158.500000
Center X: 108.000000, Center Y: 158.500000
Center X: 141.500000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 109.500000, Center Y: 124.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.000000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 124.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 108.500000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 109.000000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 109.000000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 141.500000, Center Y: 159.000000
Center X: 109.000000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 158.500000
Center X: 110.000000, Center Y: 125.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.500000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.500000
Center X: 142.500000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 111.000000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 125.500000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 159.500000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 123.500000
Center X: 142.500000, Center Y: 160.000000
Center X: 109.500000, Center Y: 159.500000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.500000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.500000, Center Y: 160.000000
Center X: 110.500000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 160.000000
Center X: 110.000000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.000000, Center Y: 126.000000
Center X: 142.500000, Center Y: 124.000000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 110.000000, Center Y: 125.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 142.000000, Center Y: 160.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 109.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 159.500000
Center X: 109.500000, Center Y: 125.500000
Center X: 141.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 109.500000, Center Y: 125.000000
Center X: 141.500000, Center Y: 123.500000
Center X: 142.000000, Center Y: 159.000000
Center X: 109.000000, Center Y: 159.500000
Center X: 109.000000, Center Y: 125.000000
Center X: 141.500000, Center Y: 123.500000
Center X: 141.000000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 109.000000, Center Y: 124.500000
Center X: 141.500000, Center Y: 123.000000
Center X: 141.000000, Center Y: 159.000000
Center X: 108.000000, Center Y: 158.500000
Center X: 141.500000, Center Y: 123.000000
Center X: 108.000000, Center Y: 123.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.500000, Center Y: 157.500000
Center X: 108.000000, Center Y: 123.500000
Center X: 141.000000, Center Y: 122.500000
Center X: 141.000000, Center Y: 158.000000
Center X: 107.000000, Center Y: 157.500000
Center X: 141.000000, Center Y: 122.000000
Center X: 107.500000, Center Y: 122.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.000000, Center Y: 157.000000
Center X: 141.000000, Center Y: 122.000000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 157.500000
Center X: 141.000000, Center Y: 122.000000
Center X: 106.500000, Center Y: 122.000000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.000000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.000000, Center Y: 121.000000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 122.000000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 121.500000
Center X: 106.500000, Center Y: 121.500000
Center X: 140.000000, Center Y: 158.000000
Center X: 106.500000, Center Y: 156.500000
Center X: 141.000000, Center Y: 122.000000
Center X: 106.500000, Center Y: 121.500000
